event,utc,epoch,step,train_accuracy,test_accuracy,train_logistic_loss,test_logistic_loss,objective,elapsed_seconds
training,2026-09-22T18:37:43.217011+00:00,23,2162,0.9635833333333333,0.952,0.23353704833984376,0.23885932922363282,5872.080641331392,7.022622709162533
training,2026-09-22T18:37:43.482862+00:00,24,2256,0.9635833333333333,0.952,0.23165116373697917,0.23700987243652344,5876.231364568075,7.288473353721201
training,2026-09-22T18:37:43.748681+00:00,25,2350,0.96375,0.9515,0.2298582967122396,0.23525169372558594,5880.471349536671,7.55429073702544
training,2026-09-22T18:37:44.014689+00:00,26,2444,0.96375,0.9515,0.22815069580078126,0.23357725524902342,5884.780171540204,7.820300478488207
training,2026-09-22T18:37:44.280530+00:00,27,2538,0.96375,0.952,0.2265214640299479,0.23197955322265626,5889.140304939419,8.086140386760235
training,2026-09-22T18:37:44.550194+00:00,28,2632,0.96375,0.952,0.22496429443359375,0.23045252990722656,5893.538535615509,8.35579036641866
training,2026-09-22T18:37:44.816297+00:00,29,2726,0.9639166666666666,0.952,0.2234742635091146,0.22899118041992186,5897.956014805214,8.621908379718661
training,2026-09-22T18:37:45.082713+00:00,30,2820,0.964,0.952,0.22204640706380208,0.2275904083251953,5902.383610886218,8.888324583880603
training,2026-09-22T18:37:45.348605+00:00,31,2914,0.964,0.952,0.22067535400390625,0.22624569702148437,5906.822800191243,9.154215448535979
training,2026-09-22T18:37:45.614585+00:00,32,3008,0.964,0.9525,0.21935721842447917,0.22495297241210938,5911.266497518502,9.42019525449723
training,2026-09-22T18:37:45.880539+00:00,33,3102,0.964,0.9525,0.2180888671875,0.2237088165283203,5915.704300599939,9.686151045374572
training,2026-09-22T18:37:46.146907+00:00,34,3196,0.964,0.9525,0.21686698404947916,0.22251019287109375,5920.133203057681,9.952518627978861
training,2026-09-22T18:37:46.413075+00:00,35,3290,0.9640833333333333,0.953,0.21568865966796874,0.2213541564941406,5924.551146406286,10.218685733154416
training,2026-09-22T18:37:46.679040+00:00,36,3384,0.9643333333333334,0.9535,0.2145509033203125,0.2202379150390625,5928.959539787442,10.48465095832944
training,2026-09-22T18:37:46.949374+00:00,37,3478,0.9643333333333334,0.9535,0.2134513142903646,0.21915910339355468,5933.352331528009,10.754984346218407
training,2026-09-22T18:37:47.215680+00:00,38,3572,0.9643333333333334,0.953,0.21238761393229166,0.218115478515625,5937.726162196141,11.021290127187967
training,2026-09-22T18:37:47.481826+00:00,39,3666,0.96425,0.953,0.2113577677408854,0.217105224609375,5942.077609372606,11.287437403574586
training,2026-09-22T18:37:47.753749+00:00,40,3760,0.96425,0.953,0.2103599853515625,0.21612651062011717,5946.4064464045505,11.559358885511756
training,2026-09-22T18:37:48.019854+00:00,41,3854,0.96425,0.953,0.20939231363932292,0.21517750549316406,5950.711977453793,11.82546561025083
training,2026-09-22T18:37:48.291379+00:00,42,3948,0.9643333333333334,0.953,0.20845320638020834,0.2142564697265625,5954.991241597194,12.096988759934902
training,2026-09-22T18:37:48.556236+00:00,43,4042,0.9643333333333334,0.953,0.20754115804036458,0.21336207580566408,5959.244203821818,12.361847637221217
training,2026-09-22T18:37:48.824504+00:00,44,4136,0.9643333333333334,0.9525,0.2066549072265625,0.21249307250976562,5963.468355201272,12.630113687366247
training,2026-09-22T18:37:49.090862+00:00,45,4230,0.9643333333333334,0.9525,0.2057930908203125,0.21164801025390625,5967.665605268292,12.896473489701748
training,2026-09-22T18:37:49.357314+00:00,46,4324,0.9643333333333334,0.9525,0.20495444742838542,0.21082557678222658,5971.836665703268,13.162924877367914
training,2026-09-22T18:37:49.629065+00:00,47,4418,0.9644166666666667,0.9525,0.204137939453125,0.21002484130859375,5975.97701811697,13.434674964286387
training,2026-09-22T18:37:49.895336+00:00,48,4512,0.9646666666666667,0.9525,0.20334256998697917,0.20924472045898437,5980.086816234214,13.70094564370811
training,2026-09-22T18:37:50.161353+00:00,49,4606,0.96475,0.9525,0.20256732177734374,0.20848439025878907,5984.165711189718,13.96696302574128
training,2026-09-22T18:37:50.428046+00:00,50,4700,0.96475,0.9525,0.2018115234375,0.2077429656982422,5988.21307367063,14.233656723983586
training,2026-09-22T18:37:50.694487+00:00,51,4794,0.96475,0.9525,0.20107417805989583,0.2070196533203125,5992.22928724102,14.500097014941275
training,2026-09-22T18:37:50.961063+00:00,52,4888,0.9648333333333333,0.9525,0.20035451253255207,0.20631373596191407,5996.217170191746,14.766672829166055
training,2026-09-22T18:37:51.227734+00:00,53,4982,0.9649166666666666,0.9525,0.19965152994791666,0.20562428283691406,6000.173701417212,15.033345607109368
training,2026-09-22T18:37:51.494407+00:00,54,5076,0.9649166666666666,0.9525,0.19896474202473957,0.20495072937011719,6004.101408281513,15.300017883069813
training,2026-09-22T18:37:51.761072+00:00,55,5170,0.9649166666666666,0.953,0.198293701171875,0.20429244995117188,6007.996171883976,15.566683450713754
training,2026-09-22T18:37:52.028153+00:00,56,5264,0.9648333333333333,0.953,0.19763755289713542,0.20364888000488282,6011.8623001921405,15.83375674393028
training,2026-09-22T18:37:52.294924+00:00,57,5358,0.9648333333333333,0.953,0.1969957071940104,0.2030193328857422,6015.697946017396,16.100535670295358
training,2026-09-22T18:37:52.561580+00:00,58,5452,0.9648333333333333,0.953,0.1963676961263021,0.2024032745361328,6019.504657281614,16.36718546319753
training,2026-09-22T18:37:52.828313+00:00,59,5546,0.965,0.953,0.19575309244791667,0.20180030822753905,6023.277324197807,16.633924089372158
training,2026-09-22T18:37:53.095675+00:00,60,5640,0.965,0.953,0.19515132649739583,0.2012098388671875,6027.01900248808,16.901249829679728
training,2026-09-22T18:37:53.362735+00:00,61,5734,0.965,0.953,0.19456180826822916,0.20063137817382812,6030.7329863006,17.168344274163246
training,2026-09-22T18:37:53.629843+00:00,62,5828,0.965,0.9535,0.1939841105143229,0.20006451416015625,6034.419580893423,17.43545374274254
training,2026-09-22T18:37:53.896630+00:00,63,5922,0.9650833333333333,0.9535,0.19341782633463542,0.19950892639160156,6038.078615629907,17.70224084984511
training,2026-09-22T18:37:54.164401+00:00,64,6016,0.9650833333333333,0.9535,0.19286252848307292,0.19896414184570313,6041.70868771123,17.969996760599315
training,2026-09-22T18:37:54.431483+00:00,65,6110,0.9650833333333333,0.9535,0.19231791178385416,0.19842982482910157,6045.309340376012,18.237093838863075
training,2026-09-22T18:37:54.698715+00:00,66,6204,0.9650833333333333,0.9535,0.19178365071614584,0.19790560913085936,6048.88260122561,18.50432417728007
training,2026-09-22T18:37:54.965560+00:00,67,6298,0.9649166666666666,0.9535,0.19125931803385415,0.19739111328125,6052.427073183247,18.771170743741095
training,2026-09-22T18:37:55.232944+00:00,68,6392,0.9649166666666666,0.9535,0.1907447509765625,0.196885986328125,6055.942306137085,19.038555160164833
training,2026-09-22T18:37:55.500051+00:00,69,6486,0.9649166666666666,0.9535,0.19023954264322918,0.19639004516601563,6059.42858912898,19.30566131323576
training,2026-09-22T18:37:55.767194+00:00,70,6580,0.9649166666666666,0.9535,0.18974342854817708,0.19590298461914063,6062.8891685635435,19.572806193493307
training,2026-09-22T18:37:56.034200+00:00,71,6674,0.9649166666666666,0.9535,0.18925602213541667,0.19542451477050782,6066.320696108949,19.839811625890434
training,2026-09-22T18:37:56.301536+00:00,72,6768,0.9649166666666666,0.9535,0.18877703857421874,0.19495428466796874,6069.729092317469,20.107142083346844
training,2026-09-22T18:37:56.568889+00:00,73,6862,0.9649166666666666,0.9535,0.18830631510416668,0.19449209594726563,6073.109736595901,20.37450024113059
training,2026-09-22T18:37:56.835994+00:00,74,6956,0.9649166666666666,0.9535,0.187843505859375,0.1940377197265625,6076.464885434918,20.64160420000553
